dataset,sample,poisson_ratio,matrix_error,action_error,rayleigh_error,rigid_residual,affine_residual,symmetry_residual,psd_violation,modal_share_1,modal_share_2,modal_share_3,modal_share_4,modal_share_5
parameter hold-out,25,0.40,9.169598244569258e-05,8.75783034235383e-05,0.000815467328227527,1.3994696619377455e-16,3.122558913737518e-08,0.0,0.0,0.9168160116764072,0.6958877105165562,0.2911541288970698,0.08674838705493827,0.009350479808165186
parameter hold-out,26,0.44,3.790487829901511e-05,3.5496387474920646e-05,0.0003751154553412117,1.3991327103889297e-16,3.2252283458607637e-08,0.0,0.0,0.9047686962303761,0.5789682016095826,0.413644938263118,0.09701439070878462,0.0056905341557509604
parameter hold-out,27,0.46,9.739814148722788e-05,7.736571057021304e-05,0.0017010446449305995,8.861264425876807e-17,2.1099735530574207e-08,0.0,0.0,0.8955701922239601,0.5054332257089399,0.4909448350670196,0.10419429200768866,0.0038504279318077716
parameter hold-out,28,0.48,4.98406930378841e-05,4.0876321154734845e-05,0.0012207950228346333,1.9741401556494212e-16,2.6313049418842888e-08,0.0,0.0,0.8822675121561813,0.6192247648907586,0.38307188617134785,0.11361951133395122,0.001972845743019507
parameter hold-out,29,0.49,4.972149684149448e-05,3.733031985986593e-05,0.002467912219418457,3.6827867912007243e-16,3.005731860462945e-08,0.0,0.0,0.8700829790110398,0.6826463658221928,0.3259722280236966,0.1203651828023659,0.001008856222374335
parameter hold-out,30,0.20,0.00014691287152854832,0.00013259823103684362,0.0006477235911885345,2.1743093420323157e-16,2.728791155437092e-08,0.0,0.0,0.999839224335302,0.9960747591871877,0.0035880409811923425,0.00042198693648657823,7.269905390523075e-05
parameter hold-out,31,0.24,0.00011042710817995069,0.00012209102302850733,0.0007189393337449393,1.9631153760175573e-16,2.97745990001881e-08,0.0,0.0,0.9998350382442638,0.9957547537794652,0.0038705957561630507,0.0004751851719204321,6.471710663006082e-05
parameter hold-out,32,0.28,8.284254802825327e-05,8.74523679336208e-05,0.0005606706094175736,1.3276041982824194e-16,2.187675112120896e-08,0.0,0.0,0.9998282878388235,0.995018431371869,0.004544292533500944,0.0005530168329115023,5.6292651441759744e-05
parameter hold-out,33,0.32,8.894772236440293e-05,7.890564199864641e-05,0.0006036720493741268,1.3666080318320888e-16,3.114668798863563e-08,0.0,0.0,0.9998184801039309,0.9933169983585775,0.006137317349046491,0.0006776825960665723,4.7455616774786916e-05
parameter hold-out,34,0.36,0.00011729720292226472,0.0001100811353812398,0.0009959651153309316,1.6010709595560836e-16,3.610823194870896e-08,0.0,0.0,0.9998045532016182,0.9882608238398878,0.010986851549945663,0.0009070074688133459,3.8188769350300475e-05
parameter hold-out,35,0.40,0.00010576357876248763,0.00010441922499224637,0.0009993739271362675,1.419971924106242e-16,2.7230034027363827e-08,0.0,0.0,0.9997842280924909,0.953374317223365,0.045405161017539206,0.0014439423616242945,2.8404155707898602e-05
parameter hold-out,36,0.44,5.505198801481207e-05,4.9854025819724364e-05,0.0009824602030805984,1.9637085646402397e-16,2.4511913677733408e-08,0.0,0.0,0.9997557124402072,0.9293883969491982,0.06726771562682021,0.0036129868839397325,1.7931674706822467e-05
parameter hold-out,37,0.46,3.224483720453716e-05,2.6836289438899333e-05,0.0006355145827345787,1.1240238579499208e-16,2.727844176327764e-08,0.0,0.0,0.9997339491199688,0.9785071067517174,0.011898726606285605,0.009844754765088726,1.2367517053685458e-05
parameter hold-out,38,0.48,1.740535868827812e-05,1.7434535129471703e-05,0.0008420351342873957,1.342318981573388e-16,2.0915753114632285e-08,0.0,0.0,0.999702033887381,0.7836491540044908,0.21288823764908177,0.00380317768664661,6.478541079648443e-06
parameter hold-out,39,0.49,3.382247574028553e-05,2.641661026533069e-05,0.0018665811008372678,2.884836395203972e-16,2.510672495327223e-08,0.0,0.0,0.9996710823258782,0.9437183324689516,0.05429631634760561,0.0023825486645302684,3.3446280574560224e-06
parameter hold-out,40,0.20,6.281892351619033e-05,7.377257532210813e-05,0.00031266183450432344,1.2054029963674245e-16,3.04092174064223e-08,0.0,0.0,0.9938157030373432,0.980008861614777,0.01998276929476455,0.003973553897884514,0.0022081820483899456
parameter hold-out,41,0.24,6.625400826113735e-05,6.272226870058134e-05,0.0003025643268631193,2.3565828946400366e-16,2.6815498175197332e-08,0.0,0.0,0.993504851681922,0.9772778333071733,0.022812590905613182,0.0034500612969499715,0.0029588653193578706
parameter hold-out,42,0.28,0.00015278396573118044,0.00012671453801332272,0.0007835925105111697,1.349225270865177e-16,2.1912535757736464e-08,0.0,0.0,0.9931015505068,0.9730413696892881,0.026976471225356773,0.003987925563357561,0.002904125328356223
parameter hold-out,43,0.32,0.00019551445327118535,0.00015760083279147826,0.0012014430337140456,2.4225980518505237e-16,3.069461236988085e-08,0.0,0.0,0.9925805825323955,0.9659192757309437,0.033644613060077544,0.00552023799200412,0.002350650936823853
