id,method,field_relative_l2,flux_relative_error,stable
H24,Full BNEM,0.0006416892197911,0.003072896628454021,True
H25,Analytical only,4.621855080766581e+41,3.474762602934656e+76,True
H25,No projection,0.23780003012308876,0.891311931888434,True
H25,Full BNEM,0.001537110145897376,0.006813592877995625,True
E01,Analytical only,,,False
E01,No projection,0.172416327441219,1.3585207375901212,True
E01,Full BNEM,0.0036449425499384186,0.010081705082301011,True
E02,Analytical only,1.8777404808873025e+83,2.573788945977756e+154,True
E02,No projection,0.10201914502709548,1.5189590557840238,True
E02,Full BNEM,0.0030225023155150232,0.007236438821741029,True
E03,Analytical only,2.844977123075769e+26,5.429300816735017e+39,True
E03,No projection,0.15053869149216736,0.8878315798622782,True
E03,Full BNEM,0.0017607284223362934,0.005722558224188996,True
E04,Analytical only,9.043656646642904e+23,5.601410961557986e+35,True
E04,No projection,0.05371621599586216,0.443157040162359,True
E04,Full BNEM,0.0021866672700636995,0.007189878710176289,True
E05,Analytical only,2.6611073918519816e+45,2.2710965212801156e+94,True
E05,No projection,0.1808348780999333,1.4852286834272013,True
E05,Full BNEM,0.0012644727408344957,0.0034156645530170286,True
E06,Analytical only,4.170867858330358e+19,3.38020489608831e+27,True
E06,No projection,0.19029707387041708,1.7987567639137925,True
E06,Full BNEM,0.00412540080152852,0.014118816634464258,True
E07,Analytical only,2.8675881914927245e+58,3.949642675255373e+104,True
E07,No projection,0.11710695279043225,0.8822436677790131,True
E07,Full BNEM,0.0024280147150105777,0.007902628795584014,True
E08,Analytical only,6.3485612574034296e+44,8.753881671452915e+76,True
E08,No projection,0.04856508998277724,0.36224653730314466,True
E08,Full BNEM,0.0026651298912343476,0.00843731757371846,True
E09,Analytical only,3.124654098178375e+65,6.9130941489375825e+118,True
E09,No projection,0.07976395891478806,0.5469515013744816,True
E09,Full BNEM,0.0015109701171093137,0.004987680750089325,True
E10,Analytical only,8.202383612638767e+55,7.009052925545272e+99,True
E10,No projection,0.14917324638749804,1.1042621976430047,True
E10,Full BNEM,0.0028265003625459755,0.007773388171899032,True
E11,Analytical only,3.348281444449304e+71,1.2708393733156137e+131,True
E11,No projection,0.12595372181191575,1.1588859699395606,True
E11,Full BNEM,0.002017624143069179,0.007530232130698428,True
E12,Analytical only,2.909240600267396e+36,3.5079086544430155e+60,True
E12,No projection,0.05675998273609537,0.21114021880513525,True
E12,Full BNEM,0.002548284670861876,0.0059919344019067,True
E13,Analytical only,6.231725658185181e+50,1.4535402566437227e+91,True
E13,No projection,0.10114251034821503,1.1895155882399504,True
E13,Full BNEM,0.002162052319353833,0.008350420858797966,True
E14,Analytical only,2.20042504628699e+55,8.55782271107284e+97,True
E14,No projection,0.05378053337962113,0.45919703724193833,True
E14,Full BNEM,0.003614676809237983,0.01111752156628732,True
E15,Analytical only,2.1084577282143468e+42,2.2868120036316954e+71,True
E15,No projection,0.30156043881165645,2.409696690724722,True
E15,Full BNEM,0.0024501696551026057,0.010153980677107087,True
E16,Analytical only,,,False
E16,No projection,0.12677129812259022,1.5070444293348901,True
E16,Full BNEM,0.003059291614464986,0.023031103059523956,True
E17,Analytical only,6.840388753552627e+77,2.7116244280095902e+144,True
E17,No projection,0.10234882617403619,1.365966056724223,True
E17,Full BNEM,0.0033488571023353136,0.02466456480102576,True
E18,Analytical only,8.913835629587316e+76,2.0810866300449624e+143,True
E18,No projection,0.1582791709948394,1.723219195472186,True
E18,Full BNEM,0.0038958296481119417,0.02640393301510604,True
E19,Analytical only,3.588355702423169e+48,5.224420155388793e+84,True
E19,No projection,0.12403237144660673,1.5131119276181906,True
E19,Full BNEM,0.003820633426745697,0.029394155980427463,True
E20,Analytical only,3.315570366623637e+124,,False
E20,No projection,0.2072904663171971,2.9631980760809222,True
E20,Full BNEM,0.0029143413814657084,0.028084574247708237,True
E21,Analytical only,1.8421995303697052e+37,6.194569993105792e+61,True
E21,No projection,0.08079795013161518,0.32082087284830474,True
E21,Full BNEM,0.0008094108214076298,0.002864586599619553,True
E22,Analytical only,3.4501499975328867e+56,2.3177037816430855e+106,True
E22,No projection,0.1264427475165291,0.5604933523911028,True
E22,Full BNEM,0.0015511728798180298,0.006656779123554325,True
E23,Analytical only,3.250019808361022e+45,1.0560154523735228e+79,True
E23,No projection,0.16046770696594984,0.5599149264333433,True
E23,Full BNEM,0.0015263005523441333,0.005853083211949021,True
E24,Analytical only,,,False
E24,No projection,0.2700384566930955,0.9981611377365311,True
E24,Full BNEM,0.0005400027070199217,0.0027302041229084672,True
E25,Analytical only,1.477584514089513e+45,1.8447281001104287e+78,True
E25,No projection,0.22830299209096755,0.817690512372789,True
E25,Full BNEM,0.0011535860356917116,0.00493650840258674,True
