id,source_id,source_level,level,mesh_size,elements,field_relative_l2,flux_relative_error,operator_seconds,assembly_seconds,linear_solve_seconds,normalized_elements
H25,BH25,h0.080,L1,0.08,844,0.0015376765631708732,0.006813592814039768,0.21364659999744617,0.013323099999979604,0.008475500002532499,0.20896261450854173
H25,BH25,h0.056,L2,0.056,1227,0.0014588065133559977,0.006813225957911625,0.020475499997701263,0.02124329999787733,0.014972500001022127,0.30378806635305766
H25,BH25,h0.040,L3,0.04,2304,0.0009967898709294025,0.005459871346934242,0.045666300000448246,0.03773419999924954,0.0397406999982195,0.5704382272839812
H25,BH25,h0.028,L4,0.028,4039,0.0004592015757996965,0.0025075246385427284,0.07951930000126595,0.06430030000046827,0.0764017999972566,1.0
E01,BE01,h0.080,L1,0.08,590,0.003888153886316904,0.010081705166483011,0.009637600000132807,0.009257199999410659,0.005755899997893721,0.13529007108461363
E01,BE01,h0.056,L2,0.056,1180,0.0018170608900234535,0.0051487116469012785,0.020077299999684328,0.01846280000245315,0.013259999999718275,0.27058014216922727
E01,BE01,h0.040,L3,0.04,2048,0.0011587538051615707,0.002902967770680147,0.0445612000003166,0.035501800000929506,0.025933400000212714,0.46961706030726896
E01,BE01,h0.028,L4,0.028,4361,0.0005875115780248444,0.0015250686421073112,0.08742449999772361,0.07110290000127861,0.0677834999987681,1.0
E02,BE02,h0.080,L1,0.08,723,0.003166976195791379,0.0072364387939193265,0.1187683999996807,0.011612599999352824,0.008073400000284892,0.1462970457304735
E02,BE02,h0.056,L2,0.056,1299,0.001767560412378104,0.004413717604294355,0.02212829999916721,0.020337300000392133,0.016676899998856243,0.26284904896802913
E02,BE02,h0.040,L3,0.04,2401,0.0009391053515579671,0.0022213468080718728,0.048541199997998774,0.038480700000945944,0.032121899999765446,0.48583569405099153
E02,BE02,h0.028,L4,0.028,4942,0.0003652458320879573,0.0007147808428587768,0.09786689999964437,0.08003769999777433,0.08648779999930412,1.0
E03,BE03,h0.080,L1,0.08,613,0.001853587961361095,0.005722558255060713,0.007682700001168996,0.00979630000074394,0.00619870000082301,0.13561946902654867
E03,BE03,h0.056,L2,0.056,1147,0.0018237495343330504,0.005723436533811029,0.021254199997201795,0.018234999999549473,0.01159140000163461,0.2537610619469027
E03,BE03,h0.040,L3,0.04,2175,0.0007954684168457742,0.0021853889409042615,0.0438045000009879,0.034207999997306615,0.03025350000098115,0.4811946902654867
E03,BE03,h0.028,L4,0.028,4520,0.00045706280846952906,0.0012486434710677757,0.09788850000040838,0.0817577000016172,0.06621309999900404,1.0
E04,BE04,h0.080,L1,0.08,595,0.0025100019215983896,0.00718987869520568,0.010007299999415409,0.008964699998614378,0.0053503999988606665,0.12656881514571366
E04,BE04,h0.056,L2,0.056,1332,0.0017754625377685458,0.005083738458297506,0.023869699998613214,0.02103770000030636,0.016294199998810655,0.28334396936821954
E04,BE04,h0.040,L3,0.04,2587,0.0009916108787909365,0.0031352264994937286,0.04948849999709637,0.041814399999566376,0.03805370000191033,0.5503084450116996
E04,BE04,h0.028,L4,0.028,4701,0.00022251662614416857,0.0004315594806603986,0.09410659999775817,0.07287889999861363,0.08518000000185566,1.0
E05,BE05,h0.080,L1,0.08,564,0.0015543941046741504,0.0034156646958087658,0.009604300001228694,0.00863730000128271,0.005097899997053901,0.12218370883882149
E05,BE05,h0.056,L2,0.056,1300,0.002023541070101036,0.005824690141088084,0.021307700000761542,0.020099100001971237,0.015180599999439437,0.28162911611785096
E05,BE05,h0.040,L3,0.04,2375,0.0004946786933498509,0.0013762088951595692,0.047889900000882335,0.03820899999846006,0.03059669999856851,0.5145147313691508
E05,BE05,h0.028,L4,0.028,4616,0.00019161458402029547,0.00021152349751672666,0.09390069999790285,0.07280429999809712,0.07696930000020075,1.0
E06,BE06,h0.080,L1,0.08,644,0.004524586146857647,0.014118816619040922,0.010364300000219373,0.009800799998629373,0.00643310000305064,0.12468538238141336
E06,BE06,h0.056,L2,0.056,1233,0.0022734860035744813,0.007207813833703529,0.021180899999308167,0.02171020000241697,0.015716199999587843,0.2387221684414327
E06,BE06,h0.040,L3,0.04,2399,0.0010067448219974436,0.003098600677339052,0.050447300000087125,0.038913899999897694,0.03496639999866602,0.4644724104549855
E06,BE06,h0.028,L4,0.028,5165,0.0008249530286298597,0.0024554375614057765,0.10130179999760003,0.0798703000000387,0.09352430000217282,1.0
E07,BE07,h0.080,L1,0.08,621,0.002383016375704385,0.007902628810653288,0.009254799999325769,0.010576900000160094,0.006624099998589372,0.12689006947282386
E07,BE07,h0.056,L2,0.056,1155,0.0012489665285183365,0.003944902547083594,0.01960049999979674,0.0180346000015561,0.01131099999838625,0.2360032693093584
E07,BE07,h0.040,L3,0.04,2527,0.0006132518154329382,0.001967841754726627,0.050437699999747565,0.040667699999175966,0.03413129999898956,0.5163465467919902
E07,BE07,h0.028,L4,0.028,4894,0.0003392982607503077,0.0009498907169018523,0.10497709999981453,0.09073290000014822,0.11695580000014161,1.0
E08,BE08,h0.080,L1,0.08,616,0.0027009934577469203,0.008437317575944585,0.008360100000572857,0.009594300001481315,0.007995400002982933,0.11866692352147948
E08,BE08,h0.056,L2,0.056,1163,0.0015534531033695835,0.004201982034748508,0.01963669999895501,0.018210599999292754,0.011964900000748457,0.22404161047967636
E08,BE08,h0.040,L3,0.04,2464,0.0006614990660960622,0.0021098279429517496,0.04840949999925215,0.03949129999818979,0.03542860000015935,0.4746676940859179
E08,BE08,h0.028,L4,0.028,5191,0.00031593006005534987,0.0009665684610585373,0.09996409999803291,0.08321340000111377,0.09502509999947506,1.0
E09,BE09,h0.080,L1,0.08,599,0.0016447938275700633,0.004987680735445072,0.010407999998278683,0.008910000000469154,0.006004500002745772,0.1479377624104717
E09,BE09,h0.056,L2,0.056,1241,0.0017163672231212622,0.006115018935167135,0.022286499999609077,0.019548899999790592,0.014823500001512002,0.30649543097061005
E09,BE09,h0.040,L3,0.04,2272,0.00068867111957064,0.0021010890198228027,0.046063499998126645,0.03829139999652398,0.03278550000322866,0.5611262040009879
E09,BE09,h0.028,L4,0.028,4049,0.0005337422799972288,0.0017140607705023033,0.07999539999946137,0.06792409999980009,0.06101600000329199,1.0
E10,BE10,h0.080,L1,0.08,578,0.002948454460957329,0.007773388161897655,0.007813100000930717,0.008596799998485949,0.0056471999996574596,0.11698036834648856
E10,BE10,h0.056,L2,0.056,1223,0.0015844697065892004,0.004519635758408433,0.020046600002388004,0.0185090000013588,0.013690499999938766,0.24752074478850436
E10,BE10,h0.040,L3,0.04,2358,0.0011577682440089994,0.003487502541798128,0.04802199999903678,0.03891650000150548,0.03423299999849405,0.4772313296903461
E10,BE10,h0.028,L4,0.028,4941,0.0004781125640527333,0.0013588464063660325,0.09661940000296454,0.0782878999998502,0.07762079999884008,1.0
E11,BE11,h0.080,L1,0.08,579,0.0021115227447656222,0.007530232102225111,0.008354099998541642,0.009155899999313988,0.005797800000436837,0.12135820582687068
E11,BE11,h0.056,L2,0.056,1101,0.0015743333866796382,0.005838848470783754,0.01933859999917331,0.018002400000113994,0.012123200001951773,0.23076923076923078
E11,BE11,h0.040,L3,0.04,2072,0.00099200609979427,0.003514985664266379,0.040372999999817694,0.032884699998248834,0.026412500003061723,0.4342905051351918
E11,BE11,h0.028,L4,0.028,4771,0.0003737977605117711,0.0010392347612745395,0.09220730000015465,0.0750716000002285,0.10331670000232407,1.0
E12,BE12,h0.080,L1,0.08,641,0.002526480980632117,0.005991934410292816,0.010503999998036306,0.00991259999864269,0.00666550000096322,0.13304275633042756
E12,BE12,h0.056,L2,0.056,1277,0.001435212869349368,0.0037163797703931656,0.02332659999956377,0.01970439999786322,0.016200099998968653,0.2650477376504774
E12,BE12,h0.040,L3,0.04,2470,0.0008014304654924137,0.0015752599206540854,0.05170019999786746,0.03988670000035199,0.03329769999982091,0.5126608551266085
E12,BE12,h0.028,L4,0.028,4818,0.00035070218763629186,0.0008491291531500721,0.0937341999997443,0.07830269999976736,0.08165720000033616,1.0
E13,BE13,h0.080,L1,0.08,603,0.002459044424128406,0.008350420837259287,0.008741100002225721,0.009293999999499647,0.005822300001455005,0.12684055532183425
E13,BE13,h0.056,L2,0.056,1304,0.0016299708174630817,0.007338878905077124,0.023891200002253754,0.021241599999484606,0.014745100001164246,0.274295330248212
E13,BE13,h0.040,L3,0.04,2314,0.0008592182684613002,0.0026543478870947085,0.04578839999885531,0.03645509999842034,0.032008800000767224,0.4867480016827934
E13,BE13,h0.028,L4,0.028,4754,0.00048666955483899415,0.0014331191083674073,0.09505349999744794,0.07516219999888563,0.0648695999989286,1.0
E14,BE14,h0.080,L1,0.08,582,0.003285736259899918,0.011117521555110478,0.008221800002502277,0.009163700000499375,0.005676599997968879,0.1257562662057044
E14,BE14,h0.056,L2,0.056,1184,0.0011341007200227839,0.0028417703540192856,0.02429130000018631,0.02126739999948768,0.014886799999658251,0.25583405358686256
E14,BE14,h0.040,L3,0.04,2241,0.0003883411163016252,6.6431817781301e-05,0.04603829999905429,0.03540930000235676,0.026230399998894427,0.4842264477095938
E14,BE14,h0.028,L4,0.028,4628,0.0003969354005759605,0.001252501143642615,0.09210060000259546,0.07348740000088583,0.06382039999880362,1.0
